index,周次,星期,角色,模块,模块形成任务,主日统领主题,本日主题,经文出处,本周一句话,每日一句,精简日标题,每日门训正文,和合本经文全文,门训步骤,思考入口,思考引导,生活导向,经文关键词（候选）,选择区目标,今日操练,七日总结/宣告,内容状态,备注
35,6,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,祂来到我们中间,约1：1-14,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,主日,今天把经文放在心里，也把自己放在经文面前。读 约翰福音 1:1-14，围绕“祂来到我们中间”安静片刻，思想：抓住“道”进入本周。主日不是结束，而是进入本周门训的起点。今天选定一个具体场景，提醒自己在这一周继续回来面对这个主题。,,进入,从主日信息进入本周,抓住“道”进入本周,基督来到我们中间，也把祂的生命带进我们的生活。,道｜肉身｜恩典,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
36,6,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,祂来到我们中间 · 周一默想,腓2：5-11,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,让基督的心影响今天的姿态。,周一,今天先学习看见。读 腓立比书 2:5-11，不要急着批评或解决问题，留意经文让你看见什么：从基督的虚己看见祂怎样主动降卑。再回到自己的生活，观察一个真实反应、选择或习惯。门徒不是先表现得正确，而是先在神的光中看清楚自己。把今天看见的一件事记下来，作为后面回应的起点。,,看见,先看见经文中的人和行动,从基督的虚己看见祂怎样主动降卑,让基督的心影响今天的姿态,虚己｜奴仆｜顺服,沿用现有选择区逻辑,我决定今天以______的心态生活,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
37,6,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,祂来到我们中间 · 周二省察,来4：14-16,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,把真实软弱带到主面前。,周二,今天给自己几分钟安静。读 希伯来书 4:14-16，把经文所揭开的张力带回心里：从能体恤软弱的大祭司进入坦然无惧。问自己，我在什么地方正在重复同样的模式？不必马上找到解决方案，只需要说真话，并用一句简单的祷告把这份真实交给主。,,亲近,先看见自己的真实反应,从能体恤软弱的大祭司进入坦然无惧,把真实软弱带到主面前,大祭司｜体恤｜施恩,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
38,6,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,祂来到我们中间 · 周三应用,约1：14-18,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,在一个具体处境中陪伴人。,周三,不要等到条件完美才回应经文。读 约翰福音 1:14-18，找出一个可以立即开始的动作，回应“从“道成了肉身”进入与人同行”。今天只走一步，但要真的走。行动之后，用一分钟回顾结果，让经验成为下一次跟随的依据。,,同行,先找一个今天能做的地方,从“道成了肉身”进入与人同行,在一个具体处境中陪伴人,道｜肉身｜恩典,沿用现有选择区逻辑,我决定今天在______上与人同行,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
39,6,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,祂来到我们中间 · 周四关系,太25：34-40,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,把一个容易忽略的人放进今天。,周四,今天把跟随带进一个人的名字。读 马太福音 25:34-40，思想：从“在最小的弟兄中”看见服事主。想起一段真实关系，不停留在“我要更有爱心”的想法，而是决定一个看得见的动作：认真倾听、主动帮助、道歉、感谢、分享或代祷。让今天的经文通过你的关系被活出来。,,服事,先放进一个真实关系,从“在最小的弟兄中”看见服事主,把一个容易忽略的人放进今天,最小的｜弟兄｜服事,沿用现有选择区逻辑,我决定今天主动服事______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
40,6,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,祂来到我们中间 · 周五行动,约1：29-34,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,今天少讲自己，多指向基督。,周五,今天的重点不是再多懂一点，而是愿意承担一步。读 约翰福音 1:29-34，把“从施洗约翰的见证看见为基督指路”落实到现实生活。可以是一次服事、一次给予、一次修复关系、一次见证或一次责任。先忠心完成今天能做的，然后在神面前感谢祂的带领。,,见证,先确定今天要走的一步,从施洗约翰的见证看见为基督指路,今天少讲自己，多指向基督,看见｜羔羊｜见证,沿用现有选择区逻辑,我决定今天用______见证主,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
41,6,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,祂来到我们中间,回顾本周：祂来到我们中间,诗23：1-6,基督来到我们中间，也进入我们的日常；今天让祂的生命影响一个真实决定。,回头看这一周：经文让我看见了什么，我真正走了哪一步？,周六,回顾不是给自己打分，而是辨认神怎样工作。今天读 诗篇 23:1-6，整理你这一周在“确认一个变化，也确定下一步”上的经历。感谢已经发生的，也承认还没有改变的。最后写下一句本周总结，并确定一个可以带进下一周的小小行动。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
42,7,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,主，教我们祷告,路11：1-13,像耶稣一样亲近父，把祷告带进今天最真实的需要和关系里。,像耶稣一样亲近父，把祷告带进今天最真实的需要和关系里。,主日,今天先慢下来。读 路加福音 11:1-13，让“主，教我们祷告”成为这一周共同的入口。不要急着把主日信息变成更多知识，先问：抓住“祷告”进入本周。把这个问题放进你真实的生活，找出一个本周愿意跟随主的场景。主日的领受要进入一周的生活，才会成为门徒的道路。,,进入,从主日信息进入本周,抓住“祷告”进入本周,学着向父祷告，让祷告进入每天的生活和关系。,祷告｜父｜饶恕,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
43,7,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,主，教我们祷告 · 周一默想,太6：5-15,像耶稣一样亲近父，把祷告带进今天最真实的需要和关系里。,调整祷告的中心。,周一,读 马太福音 6:5-15 时，先把注意力放在经文的人、行动和张力上。今天特别思想：从主祷文看见祷告首先指向父和祂的国。然后问自己，这件事在我的生活里有没有类似的位置？不要急着改变，先诚实记录一次。能够看见，是让神的话从纸面进入生命的第一步。,,看见,先看见经文中的人和行动,从主祷文看见祷告首先指向父和祂的国,调整祷告的中心,父｜国｜日用饮食,沿用现有选择区逻辑,我决定今天以______的态度祷告,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
44,7,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,主，教我们祷告 · 周二省察,雅4：1-3,像耶稣一样亲近父，把祷告带进今天最真实的需要和关系里。,把自己的真实需要带到主面前。,周二,门徒训练不仅改变行为，也改变里面的动机。读 雅各书 4:1-3，认真面对“从“妄求”看见祷告背后的欲望”。当你察觉到防卫、焦虑、比较或自我保护时，不要赶快掩盖。把那个最真实的反应写下来，求主带你从看见走向悔改与信靠。,,省察,先看见自己的真实反应,从“妄求”看见祷告背后的欲望,把自己的真实需要带到主面前,私欲｜求｜妄求,沿用现有选择区逻辑,我决定今天放下______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
45,7,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,主，教我们祷告,主，教我们祷告 · 周三应用,帖前5：16-18,像耶稣一样亲近父，把祷告带进今天最真实的需要和关系里。,把祷告放进一个固定时刻。,周三,今天把经文缩小成一个选择。读 帖撒罗尼迦前书 5:16-18，问自己：从常常祷告进入具体生活。不要设计一个很大的计划，只找一个今天能完成的小行动。门徒的成长常常发生在普通时间、普通决定和普通责任里。选定时间点去做，完成后再回看它带来了什么改变。,,操练,先找一个今天能做的地方,从常常祷告进入具体生活,把祷告放进一个固定时刻,常常｜喜乐｜祷告,沿用现有选择区逻辑,我决定今天在______上不住祷告,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
